,",Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Date,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM"
138,"1,Tobias Harris,29:48,,,,,,,,,,,,,,,,,,,,,.648,.615,.308,.154,0.0,16.5,8.5,9.8,1.6,0.0,0.0,20.2,132,109,1.0"
139,"2,Tyrese Maxey,25:40,,,,,,,,,,,,,,,,,,,,,.689,.650,.300,.200,5.1,0.0,2.5,5.7,1.8,0.0,15.5,21.8,117,112,-3.4"
140,"3,Danny Green,25:28,,,,,,,,,,,,,,,,,,,,,.750,.750,.875,.000,5.1,24.2,14.9,15.5,1.8,0.0,11.1,15.3,138,107,6.2"
141,"4,Joel Embiid,23:36,,,,,,,,,,,,,,,,,,,,,.461,.438,.250,.500,0.0,26.1,13.4,5.4,2.0,0.0,23.5,23.5,73,107,-11.5"
142,"5,Shake Milton,27:21,,,,,,,,,,,,,,,,,,,,,.879,.833,.267,.400,0.0,9.0,4.6,49.7,3.4,3.7,5.4,29.6,173,104,22.1"
143,"6,Dwight Howard,22:02,,,,,,,,,,,,,,,,,,,,,1.064,1.000,.000,2.000,5.9,16.8,11.5,0.0,2.1,0.0,34.7,11.3,141,107,-4.0"
144,"7,Isaiah Joe,19:22,,,,,,,,,,,,,,,,,,,,,.750,.750,1.000,.000,0.0,0.0,0.0,0.0,0.0,5.3,0.0,17.9,134,113,4.1"
145,"8,Matisse Thybulle,17:15,,,,,,,,,,,,,,,,,,,,,.457,.429,.857,.571,0.0,7.1,3.7,0.0,10.8,5.9,18.6,27.1,72,86,-1.1"
146,"9,Mike Scott,5:10,,,,,,,,,,,,,,,,,,,,,,,,,0.0,47.6,24.4,0.0,0.0,0.0,,0.0,0,106,-5.4"
147,"10,Terrance Ferguson,2:34,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,16.9,0,117,-23.1"
148,"11,Dakota Mathias,2:34,,,,,,,,,,,,,,,,,,,,,.000,.000,1.000,.000,0.0,0.0,0.0,42.5,0.0,0.0,0.0,16.9,64,117,-12.4"
149,"12,Tony Bradley,2:22,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,19.8,0.0,,0.0,0,72,14.0"
150,"13,Paul Reed,2:22,,,,,,,,,,,,,,,,,,,,,.500,.500,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,33.3,55.0,56,114,-39.6"
151,"14,Team Totals,240,,,,,,,,,,,,,,,,,,,,,.675,.640,.451,.293,13.5,76.9,46.1,61.4,14.6,6.4,16.3,100.0,121.7,105.2,"
152,"0,Ben Simmons,41:07,9,13,.692,0,0,,2,7,.286,2,4,6,11,1,1,4,5,20,+8,1/15/2020,,,,,,,,,,,,,,,"
